id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"328",129.08861,35.13378,"54",67.00000,426.00000,484.00000,193.00000,"2",66718.2220000000233995,159.0000000000000000,"2","59","1",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",22203.252400,6042.993290,134.076510,98.227260,"125","88"
"329",129.08861,35.13157,"54",141.00000,298.00000,414.00000,146.00000,"0",46078.1629999999931897,120.0000000000000000,"1","30","1",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",18072.409300,4918.451710,124.473710,90.903150,"114","98"
"330",129.08861,35.12937,"33",103.00000,241.00000,199.00000,222.00000,"2",39020.1299999999973807,178.0000000000000000,"14","24","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",25301.388200,6885.297580,146.548530,106.846620,"184","137"
"331",129.08861,35.12717,"20",5.00000,62.00000,217.00000,309.00000,"1",35115.2499999999927240,237.0000000000000000,"2","15","1",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",34079.425700,9273.591880,108.663360,79.995790,"291","146"
"332",129.08861,35.12496,"15",25.00000,115.00000,106.00000,144.00000,"0",18657.0559999999968568,113.0000000000000000,"0","24","1",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",16652.361400,4531.146670,53.021520,39.234060,"119","170"
"333",129.08861,35.12276,"19",387.00000,407.00000,536.00000,142.00000,"1",55980.3050000000075670,101.0000000000000000,"0","20","1",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",14845.113000,4039.114050,34.961300,25.921540,"120","99"
"334",129.08861,35.12055,"5",0.00000,36.00000,0.00000,19.00000,"0",1405.9000000000000909,4.0000000000000000,"3","1","3",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",1161.787200,316.089610,2.393230,1.661830,"12","281"
"365",129.09131,35.12937,"24",449.00000,100.00000,147.00000,165.00000,"3",33919.2015000000028522,118.0000000000000000,"1","53","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",17169.086200,4672.184590,74.503120,54.063970,"109","157"
"366",129.09131,35.12717,"32",940.00000,275.00000,252.00000,141.00000,"1",40697.9720000000088476,108.0000000000000000,"6","22","7",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",15620.035600,4250.407100,114.539700,85.360590,"105","135"
"367",129.09131,35.12496,"3",958.00000,1767.00000,1422.00000,32.00000,"0",,,"0","2","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",,,,,"20","40"
"368",129.09131,35.12276,"1",7.00000,1.00000,0.00000,10.00000,"0",14933.7800000000006548,11.0000000000000000,"0","1","8",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",1549.101200,421.468810,35.161860,19.441740,"1","223"
"369",129.09131,35.12055,"0",0.00000,,0.00000,4.00000,"0",116.1500000000000057,2.0000000000000000,"3","1","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",387.270500,105.360100,3.133860,2.334340,"0","312"
